slide,image_index,file,source_ext,width_px,height_px,bytes
1,1,images\slide-01.png,png,1672,941,2204368
2,1,images\slide-02.png,png,1672,941,868927
3,1,images\slide-03.png,png,1672,941,696839
4,1,images\slide-04.png,png,1672,941,2007349
5,1,images\slide-05.png,png,1672,941,2038011
6,1,images\slide-06.png,png,1672,941,1871421
7,1,images\slide-07.png,png,1672,941,2043926
8,1,images\slide-08.png,png,1672,941,1778673
9,1,images\slide-09.png,png,1672,941,1997374
10,1,images\slide-10.png,png,1672,941,2327128
11,1,images\slide-11.png,png,1672,941,1866906
12,1,images\slide-12.png,png,1920,1080,789569
13,1,images\slide-13.png,png,1672,941,1760633
14,1,images\slide-14.png,png,1672,941,725304
15,1,images\slide-15.png,png,1672,941,2074240
16,1,images\slide-16.png,png,1672,941,2191516
17,1,images\slide-17.png,png,1672,941,2265477
18,1,images\slide-18.png,png,1672,941,2434488
19,1,images\slide-19.png,png,1672,941,2119316
20,1,images\slide-20.png,png,1672,941,1884041
21,1,images\slide-21.png,png,1672,941,1923471
22,1,images\slide-22.png,png,1672,941,731158
23,1,images\slide-23.png,png,1672,941,1666436
24,1,images\slide-24.png,png,1672,941,1800304
25,1,images\slide-25.png,png,1672,941,2103164
26,1,images\slide-26.png,png,1672,941,2115698
